Borrowed Word,Relation,Donor Language,Source Word
bank,earlier,Germanic,bank-
bat,immediate,Middle North Germanic,bakka
blanket,earlier,Germanic,blank
blue,earlier,Germanic,bl?waz
booty,earlier,German,Beute
brackish,immediate,Middle Low German,brak
brick,earlier,Middle Low German,bricke
dance,earlier,Germanic,danson
garden,earlier,Proto-Germanic,gardan-
grape,earlier,Germanic,krappon
headband,earlier,Germanic,bindon
heron,earlier,Proto-Germanic,xaigaran
hut,earlier,Proto-Germanic,hudja
lazy,immediate,Middle Low German,lasich
mumble,immediate,Middle Low German,mummelen
pill,immediate,Middle Low German,pille
pitchfork,earlier,Germanic,pikka
reef,immediate,Middle Low German,riffe
roast,earlier,West Germanic,raustjan
rub,immediate,Middle Low German,rubben
scale,earlier,Germanic,skalja
shelf,immediate,Middle Low German,schelf
shop,earlier,Middle Low German,schoppen
shore,immediate,Middle Low German,schôre
shrimp,immediate,Middle High German,schrimpen
sledge,immediate,Middle Low German,slede
sling,immediate,Middle Low German,slinge
smile,immediate,Middle Low German,smilen
"soup, supper",earlier,Germanic,supian
split,immediate,Middle Low German,splitten
stallion,earlier,Germanic,stallo
swamp,immediate,Middle Low German,swampen
towel,earlier,Germanic,thwaxljo
trade,immediate,Middle Low German,trade
wages,earlier,Germanic,wadjam
